Ref,Status,Location,Created,Status Changed,Priority,Cause,project,Report Status,Task Group
T76201.180,Open / Ongoing Works,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Retail / Foyer,02/09/2020,02/09/2020,Other,JPC - Safety - House Keeping ,1335,Open,Site Management
T76201.181,Closed,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Pool Area Facilities>Female Changing/ Locker Room,02/09/2020,11/09/2020,Other,JPC - Safety - House Keeping ,1335,Closed,Site Management
T76201.182,Closed,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Pool Area Facilities>Female Shower,02/09/2020,11/09/2020,Other,JPC - Safety - House Keeping ,1335,Closed,Site Management
T76201.183,Closed,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Pool Area Facilities>Female Shower,02/09/2020,11/09/2020,Other,JPC - Safety - House Keeping ,1335,Closed,Site Management
T76201.184,Closed,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Pool Area Facilities>Female Shower,02/09/2020,11/09/2020,Other,JPC - Safety - House Keeping ,1335,Closed,Site Management
T76201.185,Closed,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Pool Area Facilities>Female Shower,02/09/2020,11/09/2020,Other,JPC - Safety - House Keeping ,1335,Closed,Site Management
T76201.186,Open / Ongoing Works,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Pool Area Facilities,02/09/2020,02/09/2020,Other,JPC - Safety - House Keeping ,1335,Open,Site Management
T76201.187,Open / Ongoing Works,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Pool Area Facilities>Timber batten Ceiling Corridor,02/09/2020,02/09/2020,Other,JPC - Safety - House Keeping ,1335,Open,Site Management
T76201.188,Open / Ongoing Works,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Pool Area Facilities>Male Shower,02/09/2020,02/09/2020,Other,JPC - Safety - House Keeping ,1335,Open,Site Management
T76201.189,EHS Good Observation,JPC Project Management>EHS Management>EHS Inspections,01/09/2020,01/09/2020,Behavioural Failure,JPC - Safety - Exclusion Zones,1335,Closed,Safety
T76201.19,Closed,JPC Project Management>EHS Management>EHS Inspections,01/09/2020,08/09/2020,Behavioural Failure,JPC - Safety - Environmental,1335,Closed,Safety
T76201.190,Closed,JPC Project Management>EHS Management>EHS Inspections,01/09/2020,08/09/2020,Behavioural Failure,JPC - Safety - Storage,1335,Closed,Safety
T76201.191,Closed,JPC Project Management>EHS Management>EHS Inspections,01/09/2020,08/09/2020,Behavioural Failure,JPC - Safety - Access,1335,Closed,Safety
T76201.192,EHS Good Observation,JPC Project Management>EHS Management>EHS Inspections,01/09/2020,01/09/2020,Behavioural Failure,JPC - Safety - Access,1335,Closed,Safety
T76201.193,Closed,JPC Project Management>EHS Management>EHS Inspections,01/09/2020,08/09/2020,Behavioural Failure,JPC - Safety - Storage,1335,Closed,Safety
T76201.194,Closed,JPC Project Management>EHS Management>EHS Inspections,01/09/2020,13/09/2020,Behavioural Failure,JPC - Carelessness,1335,Closed,Safety
T76201.195,Closed,JPC Project Management>EHS Management>EHS Inspections,01/09/2020,13/09/2020,Behavioural Failure,JPC - Safety - Storage,1335,Closed,Safety
T76201.196,Closed,JPC Project Management>EHS Management>EHS Inspections,01/09/2020,13/09/2020,Behavioural Failure,JPC - General - Management,1335,Closed,Safety
T76201.197,EHS Good Observation,JPC Project Management>EHS Management>EHS Inspections,01/09/2020,01/09/2020,Behavioural Failure,JPC - Safety - Management,1335,Closed,Safety
T76201.198,Closed,JPC Project Management>EHS Management>EHS Inspections,01/09/2020,13/09/2020,Behavioural Failure,JPC - Safety - Storage,1335,Closed,Safety
T76201.199,Closed,Quality Control>ITP 04 M&E Services,29/08/2020,01/09/2020,Other,JPC - Safety - House Keeping ,1335,Closed,Site Management
T76201.20,Closed,Quality Control,29/08/2020,01/09/2020,Behavioural Failure,JPC - Safety - Access,1335,Closed,Safety
T76201.200,Closed,Quality Control,29/08/2020,15/09/2020,Behavioural Failure,JPC - Safety - Access,1335,Closed,Safety
T76201.201,Closed,Quality Control,29/08/2020,15/09/2020,Behavioural Failure,JPC - Quality - Materials,1335,Closed,Safety
T76201.202,Closed,Quality Control,29/08/2020,15/09/2020,Behavioural Failure,JPC - General - Management,1335,Closed,Safety
T76201.203,Closed,Quality Control,29/08/2020,15/09/2020,Behavioural Failure,JPC - Quality - Materials,1335,Closed,Safety
T76201.204,Closed,Quality Control,29/08/2020,15/09/2020,Behavioural Failure,JPC - Safety - Lead Management,1335,Closed,Safety
T76201.205,Closed,Quality Control,29/08/2020,15/09/2020,Behavioural Failure,JPC - Safety - Access,1335,Closed,Safety
T76201.206,Closed,1335 - Adare Manor GAB,28/08/2020,28/08/2020,Behavioural Failure,JPC - Safety - Access,1335,Closed,Safety
T76201.207,EHS Good Observation,1335 - Adare Manor GAB,28/08/2020,28/08/2020,Behavioural Failure,JPC - Safety - Ladders,1335,Closed,Safety
T76201.208,Closed,1335 - Adare Manor GAB,28/08/2020,28/08/2020,Behavioural Failure,JPC - Safey - Access,1335,Closed,Safety
T76201.209,Closed,1335 - Adare Manor GAB,28/08/2020,28/08/2020,Behavioural Failure,JPC - Safety - House Keeping,1335,Closed,Safety
T76201.21,Closed,1335 - Adare Manor GAB,28/08/2020,15/09/2020,Behavioural Failure,JPC - Safety - Plant & Equipment,1335,Closed,Safety
T76201.210,EHS Good Observation,1335 - Adare Manor GAB,28/08/2020,28/08/2020,Behavioural Failure,JPC - Safety - Lead Management,1335,Closed,Safety
T76201.211,Closed,JPC Project Management>EHS Management>EHS Inspections,28/08/2020,15/09/2020,Behavioural Failure,JPC - Safety - House Keeping,1335,Closed,Safety
T76201.212,Closed,JPC Project Management>EHS Management>EHS Inspections,28/08/2020,15/09/2020,Behavioural Failure,JPC - Safety - House Keeping,1335,Closed,Safety
T76201.213,Closed,JPC Project Management>EHS Management>EHS Inspections,28/08/2020,15/09/2020,Behavioural Failure,JPC - Safety - Plant & People Interface,1335,Closed,Safety
T76201.214,EHS Good Observation,JPC Project Management>EHS Management>EHS Inspections,28/08/2020,28/08/2020,Behavioural Failure,JPC - Safety - WAH Equipment,1335,Closed,Safety
T76201.215,EHS Good Observation,JPC Project Management>EHS Management>EHS Inspections,28/08/2020,28/08/2020,Behavioural Failure,JPC - Safety - Exclusion Zones,1335,Closed,Safety
T76201.216,EHS Good Observation,JPC Project Management>EHS Management>EHS Inspections,28/08/2020,28/08/2020,Behavioural Failure,JPC - Safety - House Keeping,1335,Closed,Safety
T76201.217,Closed,JPC Project Management>EHS Management>EHS Inspections,28/08/2020,15/09/2020,Behavioural Failure,JPC - Safety - Plant & Equipment,1335,Closed,Safety
T76201.218,Closed,JPC Project Management>EHS Management>EHS Inspections,28/08/2020,15/09/2020,Behavioural Failure,JPC - Safety - PPE,1335,Closed,Safety
T76201.219,Closed,JPC Project Management>EHS Management>EHS Inspections,28/08/2020,15/09/2020,Behavioural Failure,JPC - Safety - Welfare Facilities,1335,Closed,Safety
T76201.22,EHS Good Observation,JPC Project Management>EHS Management>EHS Inspections,28/08/2020,28/08/2020,Behavioural Failure,JPC - Safety - Welfare Facilities,1335,Closed,Safety
T76201.220,Closed,JPC Project Management>EHS Management>EHS Inspections,28/08/2020,15/09/2020,Behavioural Failure,JPC - Safety - Access,1335,Closed,Safety
T76201.221,EHS Good Observation,JPC Project Management>EHS Management>EHS Inspections,28/08/2020,28/08/2020,Behavioural Failure,JPC - Safety - Management,1335,Closed,Safety
T76201.222,Closed,JPC Project Management>EHS Management>EHS Inspections,28/08/2020,15/09/2020,Behavioural Failure,JPC - Safety - Storage,1335,Closed,Safety
T76201.223,Closed,JPC Project Management>Quality Management,27/08/2020,03/09/2020,Behavioural Failure,JPC - Safety - House Keeping,1335,Closed,Safety
T76201.224,Closed,JPC Project Management>EHS Management>EHS Inspections,27/08/2020,03/09/2020,Behavioural Failure,JPC - Safety - House Keeping,1335,Closed,Safety
T76201.225,Closed,JPC Project Management>EHS Management>EHS Inspections,27/08/2020,03/09/2020,Behavioural Failure,JPC - Safety - Plant & Equipment,1335,Closed,Safety
T76201.226,Closed,JPC Project Management>EHS Management>EHS Inspections,27/08/2020,03/09/2020,Behavioural Failure,JPC - Safety - Storage,1335,Closed,Safety
T76201.227,Closed,JPC Project Management>EHS Management>EHS Inspections,27/08/2020,03/09/2020,Behavioural Failure,JPC - Safey - Access,1335,Closed,Safety
T76201.228,Closed,JPC Project Management>EHS Management>EHS Inspections,27/08/2020,03/09/2020,Behavioural Failure,JPC - Safety - Management,1335,Closed,Safety
T76201.229,Closed,JPC Project Management>EHS Management>EHS Inspections,27/08/2020,03/09/2020,Behavioural Failure,JPC - Safety - Lead Management,1335,Closed,Safety
T76201.23,Open / Ongoing Works,Quality Control,27/08/2020,27/08/2020,Other,JPC - Safety - House Keeping ,1335,Open,Design Team
T76201.230,Open / Ongoing Works,Quality Control,27/08/2020,27/08/2020,Other,JPC - Safety - House Keeping ,1335,Open,Design Team
T76201.231,Open / Ongoing Works,Quality Control,27/08/2020,27/08/2020,Other,JPC - Safety - House Keeping ,1335,Open,Design Team
T76201.232,EHS Good Observation,1335 - Adare Manor GAB,26/08/2020,26/08/2020,Behavioural Failure,JPC - Safety - Exclusion Zones,1335,Closed,Safety
T76201.233,EHS Good Observation,1335 - Adare Manor GAB,26/08/2020,26/08/2020,Behavioural Failure,JPC - Safety - Access,1335,Closed,Safety
T76201.234,Closed,1335 - Adare Manor GAB,26/08/2020,01/09/2020,Behavioural Failure,JPC - Safety - Access,1335,Closed,Safety
T76201.235,Closed,1335 - Adare Manor GAB,26/08/2020,01/09/2020,Behavioural Failure,JPC - Safety - Access,1335,Closed,Safety
T76201.236,Closed,1335 - Adare Manor GAB,26/08/2020,01/09/2020,Behavioural Failure,JPC - Quality - Materials,1335,Closed,Safety
T76201.237,Closed,1335 - Adare Manor GAB,26/08/2020,01/09/2020,Behavioural Failure,JPC - Quality - Materials,1335,Closed,Safety
T76201.238,Closed,1335 - Adare Manor GAB,26/08/2020,01/09/2020,Behavioural Failure,JPC - Quality - Materials,1335,Closed,Safety
T76201.239,Closed,1335 - Adare Manor GAB,26/08/2020,01/09/2020,Behavioural Failure,JPC - Quality - Management,1335,Closed,Safety
T76201.24,Open / Ongoing Works,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Golf Sim / lounge Room,26/08/2020,26/08/2020,Other,JPC - Safety - House Keeping ,1335,Open,Safety
T76201.240,Open / Ongoing Works,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>WC,26/08/2020,26/08/2020,Other,JPC - Safety - House Keeping ,1335,Open,Safety
T76201.241,Open / Ongoing Works,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Linen Store,26/08/2020,26/08/2020,Other,JPC - Safety - House Keeping ,1335,Open,Safety
T76201.242,JPC Signed Off / Closed,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Linen Store,26/08/2020,26/08/2020,Other,JPC - Safety - House Keeping ,1335,Closed,Safety
T76201.243,Rejected / Action Required,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Pool Area Facilities>Female Changing/ Locker Room,26/08/2020,26/08/2020,Other,JPC - Quality - Workmanship,1335,Open,Quality
T76201.244,Rejected / Action Required,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Pool Area Facilities>Female Shower,26/08/2020,26/08/2020,Other,JPC - Quality - Workmanship,1335,Open,Quality
T76201.245,JPC Signed Off / Closed,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Pool Area Facilities>Male Changing/ :Locker Room,26/08/2020,26/08/2020,Other,JPC - Safety - House Keeping ,1335,Closed,Safety
T76201.246,JPC Signed Off / Closed,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Pool Area Facilities>Male Changing/ :Locker Room,26/08/2020,26/08/2020,Other,JPC - Safety - House Keeping ,1335,Closed,Safety
T76201.247,Closed,JPC Project Management>EHS Management>EHS Inspections,26/08/2020,01/09/2020,Behavioural Failure,JPC - Safety - House Keeping,1335,Closed,Safety
T76201.248,Closed,JPC Project Management>EHS Management>EHS Inspections,26/08/2020,01/09/2020,Behavioural Failure,JPC - Quality - Materials,1335,Closed,Safety
T76201.249,Closed,JPC Project Management>EHS Management>EHS Inspections,26/08/2020,01/09/2020,Behavioural Failure,JPC - Safety - House Keeping,1335,Closed,Safety
T76201.25,Closed,JPC Project Management>EHS Management>EHS Inspections,26/08/2020,01/09/2020,Behavioural Failure,JPC - Safety - Access,1335,Closed,Safety
T76201.250,Closed,JPC Project Management>EHS Management>EHS Inspections,25/08/2020,01/09/2020,Behavioural Failure,JPC - Safety - Lead Management,1335,Closed,Safety
T76201.251,Closed,JPC Project Management>EHS Management>EHS Inspections,25/08/2020,01/09/2020,Behavioural Failure,JPC - Safety - Access,1335,Closed,Safety
T76201.252,Closed,JPC Project Management>EHS Management>EHS Inspections,25/08/2020,01/09/2020,Behavioural Failure,JPC - Safety - House Keeping,1335,Closed,Safety
T76201.253,Rejected / Action Required,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Retail / Foyer,25/08/2020,25/08/2020,Other,JPC - Quality - Damage,1335,Open,Quality
T76201.254,Closed,JPC Project Management>EHS Management>EHS Inspections,24/08/2020,13/09/2020,System Failure,JPC - Safety - Scaffolding,1335,Closed,Safety
T76201.255,Closed,JPC Project Management>EHS Management>EHS Inspections,24/08/2020,13/09/2020,Behavioural Failure,JPC - Safety - House Keeping,1335,Closed,Safety
T76201.256,Closed,JPC Project Management>EHS Management>EHS Inspections,24/08/2020,13/09/2020,System Failure,JPC - Safety - Scaffolding,1335,Closed,Safety
T76201.257,Rejected / Action Required,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Padddle Club,24/08/2020,24/08/2020,Other,JPC - Quality - Management,1335,Open,Quality
T76201.258,Rejected / Action Required,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Padddle Club,24/08/2020,24/08/2020,Other,JPC - Quality - Workmanship,1335,Open,Quality
T76201.259,Rejected / Action Required,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Padddle Club,24/08/2020,24/08/2020,Other,JPC - Quality - Workmanship,1335,Open,Quality
T76201.26,Rejected / Action Required,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Padddle Club,24/08/2020,24/08/2020,Other,JPC - Quality - Workmanship,1335,Open,Quality
T76201.260,Rejected / Action Required,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Padddle Club,24/08/2020,24/08/2020,Other,JPC - Quality - Workmanship,1335,Open,Quality
T76201.261,Rejected / Action Required,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Padddle Club,24/08/2020,24/08/2020,Other,JPC - Quality - Workmanship,1335,Open,Quality
T76201.262,Rejected / Action Required,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Padddle Club,24/08/2020,24/08/2020,Other,JPC - Quality - Workmanship,1335,Open,Quality
T76201.263,Rejected / Action Required,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Padddle Club,24/08/2020,24/08/2020,Other,JPC - Quality - Workmanship,1335,Open,Quality
T76201.264,Rejected / Action Required,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Padddle Club,24/08/2020,24/08/2020,Other,JPC - Quality - Workmanship,1335,Open,Quality
T76201.265,Rejected / Action Required,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Padddle Club,24/08/2020,24/08/2020,Other,JPC - Quality - Workmanship,1335,Open,Quality
T76201.266,Rejected / Action Required,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Padddle Club,24/08/2020,24/08/2020,Other,JPC - Quality - Workmanship,1335,Open,Quality
T76201.267,Rejected / Action Required,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Padddle Club,24/08/2020,24/08/2020,Other,JPC - Quality - Workmanship,1335,Open,Quality
T76201.268,Rejected / Action Required,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Padddle Club,24/08/2020,24/08/2020,Other,JPC - Quality - Workmanship,1335,Open,Quality
T76201.269,Rejected / Action Required,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Padddle Club,24/08/2020,24/08/2020,Other,JPC - Quality - Workmanship,1335,Open,Quality
T76201.27,Rejected / Action Required,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Padddle Club,24/08/2020,24/08/2020,Other,JPC - Quality - Management,1335,Open,Quality
T76201.270,Rejected / Action Required,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Padddle Club,24/08/2020,24/08/2020,Other,JPC - Quality - Workmanship,1335,Open,Quality
T76201.271,Rejected / Action Required,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Padddle Club,24/08/2020,24/08/2020,Other,JPC - Quality - Damage,1335,Open,Quality
T76201.272,Rejected / Action Required,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Padddle Club,24/08/2020,24/08/2020,Other,JPC - Quality - Workmanship,1335,Open,Quality
T76201.273,Rejected / Action Required,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Padddle Club,24/08/2020,24/08/2020,Other,JPC - Quality - Workmanship,1335,Open,Quality
T76201.274,Rejected / Action Required,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Padddle Club,24/08/2020,24/08/2020,Other,JPC - Quality - Workmanship,1335,Open,Quality
T76201.275,Rejected / Action Required,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Padddle Club,24/08/2020,24/08/2020,Other,JPC - Quality - Workmanship,1335,Open,Quality
T76201.276,Rejected / Action Required,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Padddle Club,24/08/2020,24/08/2020,Other,JPC - Quality - Workmanship,1335,Open,Quality
T76201.277,Rejected / Action Required,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Padddle Club,24/08/2020,24/08/2020,Other,JPC - Quality - Management,1335,Open,Quality
T76201.278,JPC Sign Off / Closed,Quality Control>ITP 04 M&E Services,21/08/2020,01/09/2020,Other,JPC - Quality - Information,1335,Closed,Quality
T76201.28,Closed,Quality Control>ITP 04 M&E Services,21/08/2020,01/09/2020,Other,JPC - Safety - House Keeping ,1335,Closed,Site Management
T76201.280,JPC Sign Off / Closed,Quality Control>ITP 04 M&E Services,21/08/2020,01/09/2020,Other,JPC - Quality - Information,1335,Closed,Quality
T76201.281,Open / Ongoing Works,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Pool Area,21/08/2020,21/08/2020,Other,JPC - Safety - House Keeping ,1335,Open,Site Management
T76201.282,Open / Ongoing Works,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Pool Area,21/08/2020,21/08/2020,Other,JPC - Safety - House Keeping ,1335,Open,Site Management
T76201.283,Open / Ongoing Works,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Pool Area,21/08/2020,21/08/2020,Other,JPC - Safety - House Keeping ,1335,Open,Site Management
T76201.284,Open / Ongoing Works,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Pool Area,21/08/2020,21/08/2020,Other,JPC - Safety - House Keeping ,1335,Open,Site Management
T76201.285,Closed,JPC Project Management>EHS Management>EHS Inspections,20/08/2020,25/08/2020,Behavioural Failure,JPC - Safety - WAH Equipment,1335,Closed,Safety
T76201.286,EHS Good Observation,JPC Project Management>EHS Management>EHS Inspections,20/08/2020,20/08/2020,Behavioural Failure,JPC - Quality - Materials,1335,Closed,Safety
T76201.287,EHS Good Observation,JPC Project Management>EHS Management>EHS Inspections,20/08/2020,20/08/2020,Behavioural Failure,JPC - Safety - House Keeping,1335,Closed,Safety
T76201.288,Closed,JPC Project Management>EHS Management>EHS Inspections,20/08/2020,25/08/2020,Behavioural Failure,JPC - Safety - Storage,1335,Closed,Safety
T76201.289,EHS Good Observation,JPC Project Management>EHS Management>EHS Inspections,20/08/2020,20/08/2020,Behavioural Failure,JPC - Safety - Access,1335,Closed,Safety
T76201.29,Closed,JPC Project Management>EHS Management>EHS Inspections,20/08/2020,25/08/2020,Behavioural Failure,JPC - Safety - Storage,1335,Closed,Safety
T76201.290,Closed,JPC Project Management>EHS Management>EHS Inspections,20/08/2020,25/08/2020,Behavioural Failure,JPC - Safety - House Keeping,1335,Closed,Safety
T76201.291,Closed,JPC Project Management>EHS Management>EHS Inspections,20/08/2020,15/09/2020,Behavioural Failure,JPC - Safety - Temporary Electrics,1335,Closed,Safety
T76201.293,EHS Good Observation,JPC Project Management>EHS Management>EHS Inspections,20/08/2020,20/08/2020,Behavioural Failure,JPC - Safety - House Keeping,1335,Closed,Safety
T76201.294,Closed,JPC Project Management>EHS Management>EHS Inspections,20/08/2020,25/08/2020,Behavioural Failure,JPC - Safey - Access,1335,Closed,Safety
T76201.295,EHS Good Observation,JPC Project Management>EHS Management>EHS Inspections,20/08/2020,20/08/2020,Behavioural Failure,JPC - Safety - Management,1335,Closed,Safety
T76201.296,Closed,JPC Project Management>EHS Management>EHS Inspections,20/08/2020,25/08/2020,Behavioural Failure,JPC - Safety - House Keeping,1335,Closed,Safety
T76201.297,Closed,JPC Project Management>EHS Management>EHS Inspections,20/08/2020,25/08/2020,Behavioural Failure,JPC - Safey - Access,1335,Closed,Safety
T76201.298,Open / Ongoing Works,Quality Control>ITP 02 Architectural>Lvl 01 Floor Plan>Fitness Suite,20/08/2020,20/08/2020,Other,JPC - Safety - House Keeping ,1335,Open,Site Management
T76201.299,Open / Ongoing Works,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Pool Area,20/08/2020,20/08/2020,Other,JPC - Safety - House Keeping ,1335,Open,Site Management
T76201.30,Open / Ongoing Works,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Pool Area,20/08/2020,20/08/2020,Other,JPC - Safety - House Keeping ,1335,Open,Site Management
T76201.300,Open / Ongoing Works,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Pool Area,20/08/2020,20/08/2020,Other,JPC - Safety - House Keeping ,1335,Open,Site Management
T76201.301,Open / Ongoing Works,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Pool Area,19/08/2020,19/08/2020,Other,JPC - Safety - House Keeping ,1335,Open,Site Management
T76201.302,Open / Ongoing Works,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Pool Area,19/08/2020,19/08/2020,Other,JPC - Safety - House Keeping ,1335,Open,Site Management
T76201.303,Open / Ongoing Works,Quality Control>ITP 02 Architectural>Level 00  Ground Floor,19/08/2020,19/08/2020,Other,JPC - Safety - House Keeping ,1335,Open,Site Management
T76201.304,Open / Ongoing Works,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Pool Area Facilities>Pool Shower 1,19/08/2020,19/08/2020,Other,JPC - Safety - House Keeping ,1335,Open,Site Management
T76201.305,Open / Ongoing Works,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Pool Area Facilities>Pool Shower 2,19/08/2020,19/08/2020,Other,JPC - Safety - House Keeping ,1335,Open,Site Management
T76201.306,Open / Ongoing Works,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Pool Area Facilities>Pool Shower 2,19/08/2020,19/08/2020,Other,JPC - Safety - House Keeping ,1335,Open,Site Management
T76201.307,Open / Ongoing Works,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Pool Area Facilities>Pool Shower 1,19/08/2020,19/08/2020,Other,JPC - Safety - House Keeping ,1335,Open,Site Management
T76201.308,Open / Ongoing Works,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Pool Area Facilities>Pool Shower 2,19/08/2020,19/08/2020,Other,JPC - Safety - House Keeping ,1335,Open,Site Management
T76201.309,Open / Ongoing Works,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Pool Area Facilities>Storage,19/08/2020,19/08/2020,Other,JPC - Safety - House Keeping ,1335,Open,Site Management
T76201.31,Open / Ongoing Works,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Pool Area Facilities>Pool Shower 1,19/08/2020,19/08/2020,Other,JPC - Safety - House Keeping ,1335,Open,Site Management
T76201.310,Open / Ongoing Works,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Pool Area,19/08/2020,19/08/2020,Other,JPC - Safety - House Keeping ,1335,Open,Site Management
T76201.311,Open / Ongoing Works,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Pool Area,19/08/2020,19/08/2020,Other,JPC - Safety - House Keeping ,1335,Open,Site Management
T76201.312,Open / Ongoing Works,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Pool Area,19/08/2020,19/08/2020,Other,JPC - Safety - House Keeping ,1335,Open,Site Management
T76201.313,JPC Signed Off / Closed,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Pool Area Facilities>Male Changing/ :Locker Room,18/08/2020,18/08/2020,Other,JPC - Safety - House Keeping ,1335,Closed,Safety
T76201.314,Open / Ongoing Works,Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Pool Area,18/08/2020,18/08/2020,Other,JPC - Safety - House Keeping ,1335,Open,Site Management
T76201.315,EHS Good Observation,JPC Project Management>EHS Management>EHS Inspections,17/08/2020,17/08/2020,Behavioural Failure,JPC - Safety - Exclusion Zones,1335,Closed,Safety
T76201.316,EHS Good Observation,JPC Project Management>EHS Management>EHS Inspections,17/08/2020,17/08/2020,Behavioural Failure,JPC - Safety - Exclusion Zones,1335,Closed,Safety
T76201.317,EHS Good Observation,JPC Project Management>EHS Management>EHS Inspections,14/08/2020,14/08/2020,Behavioural Failure,JPC - Safety - Management,1335,Closed,Safety
T76201.318,Closed,JPC Project Management>EHS Management>EHS Inspections,14/08/2020,15/09/2020,Behavioural Failure,JPC - Safety - House Keeping,1335,Closed,Safety
T76201.319,Closed,JPC Project Management>EHS Management>EHS Inspections,14/08/2020,15/09/2020,Behavioural Failure,JPC - Safety - Lead Management,1335,Closed,Safety
T76201.32,EHS Good Observation,JPC Project Management>EHS Management>EHS Inspections,14/08/2020,14/08/2020,Behavioural Failure,JPC - Safety - House Keeping,1335,Closed,Safety
T76201.320,Closed,JPC Project Management>EHS Management>EHS Inspections,14/08/2020,15/09/2020,Behavioural Failure,JPC - Safety - Management,1335,Closed,Safety
T76201.321,JPC Sign Off / Closed,Quality Control>ITP 04 M&E Services,14/08/2020,01/09/2020,Other,JPC - Quality - Materials,1335,Closed,Quality
T76201.322,Open / Ongoing Works,Quality Control>ITP 04 M&E Services,14/08/2020,14/08/2020,Other,JPC - Quality - Information,1335,Open,Quality
T76201.323,Closed,Quality Control>ITP 04 M&E Services,14/08/2020,21/08/2020,Other,JPC - Safety - House Keeping ,1335,Closed,Site Management
T76201.324,Open / Ongoing Works,Quality Control>ITP 04 M&E Services,13/08/2020,13/08/2020,Other,JPC - Safety - House Keeping ,1335,Open,Design Team
T76201.325,Closed,JPC Project Management>EHS Management,12/08/2020,21/08/2020,Behavioural Failure,JPC - Quality - Materials,1335,Closed,Safety
T76201.326,Closed,JPC Project Management>EHS Management,12/08/2020,25/08/2020,Behavioural Failure,JPC - Quality - Materials,1335,Closed,Safety
T76201.327,Closed,JPC Project Management>EHS Management,12/08/2020,25/08/2020,Behavioural Failure,JPC - Safety - Access,1335,Closed,Safety
T76201.328,Closed,JPC Project Management>EHS Management,12/08/2020,21/08/2020,Behavioural Failure,JPC - Quality - Workmanship,1335,Closed,Safety
T76201.329,Closed,JPC Project Management>EHS Management,12/08/2020,21/08/2020,Behavioural Failure,JPC - Safety - Lead Management,1335,Closed,Safety
T76201.33,Closed,JPC Project Management>EHS Management,12/08/2020,25/08/2020,Behavioural Failure,JPC - Quality - Materials,1335,Closed,Safety
T76201.330,EHS Good Observation,JPC Project Management>EHS Management,12/08/2020,12/08/2020,Behavioural Failure,JPC - Safety - Exclusion Zones,1335,Closed,Safety
