Ref,Status,Location,Created,Status Changed,Project,Report Forms Status,Report Forms Group
F121399.263,Test Results Required,Lvl 01  Floor Plan>New Building>ITP 01 Structural>Quality Control & BC(A)R,17/08/2020,07/09/2020,1329,Open,Quality
F121399.265,Test Results Required,Lvl 01  Floor Plan>New Building>ITP 01 Structural>Quality Control & BC(A)R,17/08/2020,07/09/2020,1329,Open,Quality
F121399.267,Closed,01 Daily Site Diary>Site Management>JPC Project Management,17/08/2020,07/09/2020,1329,Closed,Site Management
F121399.268,Open,1329 - 19-22 Kildare Street,17/08/2020,17/08/2020,1329,Open,Safety
F121399.269,Open,1329 - 19-22 Kildare Street,17/08/2020,17/08/2020,1329,Open,Safety
F121399.27,Closed JPC Reviewed,Site Management>JPC Project Management,17/08/2020,17/08/2020,1329,Closed,Site Management
F121399.270,Closed,01 Inspections>EHS Management>JPC Project Management,14/08/2020,26/08/2020,1329,Closed,Safety
F121399.271,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,14/08/2020,26/08/2020,1329,Closed,Safety
F121399.272,Completed and signed off,EHS Management>JPC Project Management,14/08/2020,14/08/2020,1329,Closed,Safety
F121399.273,Closed JPC Reviewed,1329 - 19-22 Kildare Street,14/08/2020,14/08/2020,1329,Closed,Site Management
F121399.274,Closed,01 Daily Site Diary>Site Management>JPC Project Management,14/08/2020,19/08/2020,1329,Closed,Site Management
F121399.275,Closed,01 Inspections>EHS Management>JPC Project Management,14/08/2020,26/08/2020,1329,Closed,Safety
F121399.276,Closed,01 Daily Site Diary>Site Management>JPC Project Management,13/08/2020,19/08/2020,1329,Closed,Site Management
F121399.277,Closed JPC Sign Off,Lvl 01  Floor Plan>New Building>ITP 01 Structural>Quality Control & BC(A)R,13/08/2020,07/09/2020,1329,Closed,Quality
F121399.278,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,13/08/2020,13/08/2020,1329,Closed,Site Management
F121399.279,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,12/08/2020,26/08/2020,1329,Closed,Safety
F121399.280,Open / Ongoing Works,Lvl 02 Floor Plan>Block 19>Existing Buildings>ITP 01 Structural>Quality Control & BC(A)R,12/08/2020,12/08/2020,1329,Open,Quality
F121399.281,Open / Ongoing Works,01 Daily Site Diary>Site Management>JPC Project Management,12/08/2020,12/08/2020,1329,Open,Site Management
F121399.282,Closed JPC Sign Off,Lvl 01  Floor Plan>New Building>ITP 01 Structural>Quality Control & BC(A)R,12/08/2020,07/09/2020,1329,Closed,Quality
F121399.283,Works Complete / Resolved,Lvl 01  Floor Plan>New Building>ITP 01 Structural>Quality Control & BC(A)R,12/08/2020,14/08/2020,1329,Open,Quality
F121399.284,Closed JPC Sign Off,Lvl 01  Floor Plan>New Building>ITP 01 Structural>Quality Control & BC(A)R,12/08/2020,07/09/2020,1329,Closed,Quality
F121399.285,Open / Ongoing Works,Block 19 - Toilets - 19.3.02>Lvl 03 Floor Plans>Existing Buildings>ITP 02 Architectural>Quality Control & BC(A)R,11/08/2020,11/08/2020,1329,Open,Quality
F121399.286,Open / Ongoing Works,1329 - 19-22 Kildare Street,11/08/2020,11/08/2020,1329,Open,Quality
F121399.287,Works Complete / Resolved,Lvl 01  Floor Plan>New Building>ITP 01 Structural>Quality Control & BC(A)R,11/08/2020,14/08/2020,1329,Open,Quality
F121399.288,Open / Ongoing Works,01 Daily Site Diary>Site Management>JPC Project Management,11/08/2020,11/08/2020,1329,Open,Site Management
F121399.289,Closed,EHS Management>JPC Project Management,11/08/2020,11/08/2020,1329,Closed,Safety
F121399.29,Test Results Required,Lvl 01  Floor Plan>New Building>ITP 01 Structural>Quality Control & BC(A)R,11/08/2020,07/09/2020,1329,Open,Quality
F121399.290,Closed JPC Sign Off,Lvl 01  Floor Plan>New Building>ITP 01 Structural>Quality Control & BC(A)R,11/08/2020,07/09/2020,1329,Closed,Quality
F121399.291,Closed JPC Sign Off,Lvl 01  Floor Plan>New Building>ITP 01 Structural>Quality Control & BC(A)R,11/08/2020,07/09/2020,1329,Closed,Quality
F121399.293,Closed,01 Daily Site Diary>Site Management>JPC Project Management,11/08/2020,19/08/2020,1329,Closed,Site Management
F121399.294,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,11/08/2020,11/08/2020,1329,Closed,Site Management
F121399.296,Closed JPC Sign Off,Lvl 01  Floor Plan>New Building>ITP 01 Structural>Quality Control & BC(A)R,10/08/2020,07/09/2020,1329,Closed,Quality
F121399.297,Closed JPC Sign Off,Lvl 01  Floor Plan>New Building>ITP 01 Structural>Quality Control & BC(A)R,10/08/2020,07/09/2020,1329,Closed,Quality
F121399.298,Closed JPC Sign Off,Lvl 01  Floor Plan>New Building>ITP 01 Structural>Quality Control & BC(A)R,10/08/2020,07/09/2020,1329,Closed,Quality
F121399.299,Closed JPC Sign Off,Lvl 01  Floor Plan>New Building>ITP 01 Structural>Quality Control & BC(A)R,10/08/2020,07/09/2020,1329,Closed,Quality
F121399.3,Closed,01 Daily Site Diary>Site Management>JPC Project Management,10/08/2020,11/08/2020,1329,Closed,Site Management
F121399.30,Completed and signed off,04 Staturatury Forms>EHS Management>JPC Project Management,10/08/2020,11/08/2020,1329,Closed,Safety
F121399.300,Open / Ongoing Works,Site Management>JPC Project Management,10/08/2020,10/08/2020,1329,Open,Site Management
F121399.301,Open / Ongoing Works,Block 21 - Front Office - 21.3.01>Lvl 03 Floor Plans>Existing Buildings>ITP 02 Architectural>Quality Control & BC(A)R,10/08/2020,10/08/2020,1329,Open,Quality
F121399.302,Open / Ongoing Works,Block 19 - Front Office - 19.3.01>Lvl 03 Floor Plans>Existing Buildings>ITP 02 Architectural>Quality Control & BC(A)R,10/08/2020,11/08/2020,1329,Open,Quality
F121399.303,Works Complete / Resolved,Lvl 03 Floor Plan>Block 19>Existing Buildings>ITP 01 Structural>Quality Control & BC(A)R,10/08/2020,28/08/2020,1329,Open,Quality
F121399.304,Works Complete / Resolved,Lvl 03 Floor Plan>Block 19>Existing Buildings>ITP 01 Structural>Quality Control & BC(A)R,10/08/2020,28/08/2020,1329,Open,Quality
F121399.305,Open,First Floor>Existing Building>Progress Photos>Site Management>JPC Project Management,10/08/2020,10/08/2020,1329,Open,Site Management
F121399.307,Open / Ongoing Works,Block 21 - Front Office - 21.2.01>Lvl 02 Floor Plans>Existing Buildings>ITP 02 Architectural>Quality Control & BC(A)R,10/08/2020,10/08/2020,1329,Open,Quality
F121399.308,JPC Sign Off / Closed,Block 21 - Front Office - 21.3.01>Lvl 03 Floor Plans>Existing Buildings>ITP 02 Architectural>Quality Control & BC(A)R,10/08/2020,04/09/2020,1329,Closed,Quality
F121399.309,JPC Inspected,Block 19 - Front Office - 19.3.01>Lvl 03 Floor Plans>Existing Buildings>ITP 02 Architectural>Quality Control & BC(A)R,10/08/2020,04/09/2020,1329,Open,Quality
F121399.31,Test Results Required,Lvl 01  Floor Plan>New Building>ITP 01 Structural>Quality Control & BC(A)R,10/08/2020,07/09/2020,1329,Open,Quality
F121399.310,Closed,01 Daily Site Diary>Site Management>JPC Project Management,10/08/2020,19/08/2020,1329,Closed,Site Management
F121399.312,Closed JPC Sign Off,Lvl 01  Floor Plan>New Building>ITP 01 Structural>Quality Control & BC(A)R,10/08/2020,07/09/2020,1329,Closed,Quality
F121399.313,Closed JPC Reviewed,JPC Project Management,10/08/2020,10/08/2020,1329,Closed,Site Management
F121399.314,Closed,01 Daily Site Diary>Site Management>JPC Project Management,07/08/2020,19/08/2020,1329,Closed,Site Management
F121399.315,JPC Inspected,Block 19 - Front Office - 19.3.01>Lvl 03 Floor Plans>Existing Buildings>ITP 02 Architectural>Quality Control & BC(A)R,07/08/2020,04/09/2020,1329,Open,Quality
F121399.317,Open / Ongoing Works,Block 19 - Front Office - 19.3.01>Lvl 03 Floor Plans>Existing Buildings>ITP 02 Architectural>Quality Control & BC(A)R,07/08/2020,07/08/2020,1329,Open,Quality
F121399.318,Open / Ongoing Works,Block 19 - Front Office - 19.3.01>Lvl 03 Floor Plans>Existing Buildings>ITP 02 Architectural>Quality Control & BC(A)R,07/08/2020,07/08/2020,1329,Open,Quality
F121399.319,Open / Ongoing Works,Lvl 03 Floor Plans>Existing Buildings>ITP 02 Architectural>Quality Control & BC(A)R,07/08/2020,07/08/2020,1329,Open,Quality
F121399.320,Open / Ongoing Works,Lvl 03 Floor Plans>Existing Buildings>ITP 02 Architectural>Quality Control & BC(A)R,07/08/2020,07/08/2020,1329,Open,Quality
F121399.321,Open / Ongoing Works,Lvl 03 Floor Plans>Existing Buildings>ITP 02 Architectural>Quality Control & BC(A)R,07/08/2020,07/08/2020,1329,Open,Quality
F121399.322,Closed,01 Daily Site Diary>Site Management>JPC Project Management,07/08/2020,07/08/2020,1329,Closed,Site Management
F121399.323,Closed JPC Sign Off,Lvl 01  Floor Plan>New Building>ITP 01 Structural>Quality Control & BC(A)R,07/08/2020,07/09/2020,1329,Closed,Quality
F121399.324,Closed JPC Sign Off,Lvl 01  Floor Plan>New Building>ITP 01 Structural>Quality Control & BC(A)R,07/08/2020,07/09/2020,1329,Closed,Quality
F121399.325,Closed JPC Reviewed,Site Management>JPC Project Management,07/08/2020,07/08/2020,1329,Closed,Site Management
F121399.326,Closed,01 Inspections>EHS Management>JPC Project Management,06/08/2020,26/08/2020,1329,Closed,Safety
F121399.327,Opened,04 Staturatury Forms>EHS Management>JPC Project Management,06/08/2020,06/08/2020,1329,Open,Safety
F121399.328,Open / Ongoing Works,04 Staturatury Forms>EHS Management>JPC Project Management,06/08/2020,06/08/2020,1329,Open,Safety
F121399.329,Closed,01 Daily Site Diary>Site Management>JPC Project Management,06/08/2020,07/08/2020,1329,Closed,Site Management
F121399.330,Closed,01 Daily Site Diary>Site Management>JPC Project Management,06/08/2020,19/08/2020,1329,Closed,Site Management
F121399.331,Completed and signed off,EHS Management>JPC Project Management,05/08/2020,05/08/2020,1329,Closed,Safety
F121399.332,Permit to Load Signed Off,Lvl 01  Floor Plan>New Building>ITP 01 Structural>Quality Control & BC(A)R,05/08/2020,10/08/2020,1329,Open,Safety
F121399.333,Closed,01 Inspections>EHS Management>JPC Project Management,05/08/2020,06/08/2020,1329,Closed,Safety
F121399.334,Open / Ongoing Works,1329 - 19-22 Kildare Street,05/08/2020,05/08/2020,1329,Open,Quality
F121399.335,Open / Ongoing Works,01 Daily Site Diary>Site Management>JPC Project Management,05/08/2020,05/08/2020,1329,Open,Site Management
F121399.336,Closed JPC Sign Off,Lvl 01  Floor Plan>New Building>ITP 01 Structural>Quality Control & BC(A)R,05/08/2020,07/09/2020,1329,Closed,Quality
F121399.337,Closed JPC Reviewed,Site Management>JPC Project Management,05/08/2020,05/08/2020,1329,Closed,Site Management
F121399.338,Closed,01 Daily Site Diary>Site Management>JPC Project Management,04/08/2020,07/08/2020,1329,Closed,Site Management
F121399.339,Closed,EHS Management>JPC Project Management,04/08/2020,04/08/2020,1329,Closed,Safety
F121399.34,Open / Ongoing Works,JPC Project Management,04/08/2020,04/08/2020,1329,Open,Quality
F121399.340,Open / Ongoing Works,JPC Project Management,04/08/2020,04/08/2020,1329,Open,Quality
F121399.341,Opened,1329 - 19-22 Kildare Street,04/08/2020,04/08/2020,1329,Open,Safety
F121399.342,Closed,01 Daily Site Diary>Site Management>JPC Project Management,04/08/2020,04/08/2020,1329,Closed,Site Management
F121399.343,Closed,01 Inspections>EHS Management>JPC Project Management,31/07/2020,26/08/2020,1329,Closed,Safety
F121399.344,Opened,1329 - 19-22 Kildare Street,31/07/2020,31/07/2020,1329,Open,Safety
F121399.345,Closed,01 Daily Site Diary>Site Management>JPC Project Management,31/07/2020,31/07/2020,1329,Closed,Site Management
F121399.346,Completed and signed off,04 Staturatury Forms>EHS Management>JPC Project Management,31/07/2020,31/07/2020,1329,Closed,Safety
F121399.347,Open / Ongoing Works,Site Management>JPC Project Management,31/07/2020,31/07/2020,1329,Open,Site Management
F121399.348,Closed JPC Reviewed,Site Management>JPC Project Management,31/07/2020,31/07/2020,1329,Closed,Site Management
F121399.349,Closed,01 Inspections>EHS Management>JPC Project Management,30/07/2020,06/08/2020,1329,Closed,Safety
F121399.350,Open / Ongoing Works,01 Inspections>EHS Management>JPC Project Management,30/07/2020,26/08/2020,1329,Open,Safety
F121399.351,Open / Ongoing Works,01 Daily Site Diary>Site Management>JPC Project Management,30/07/2020,30/07/2020,1329,Open,Site Management
F121399.352,Closed,01 Inspections>EHS Management>JPC Project Management,30/07/2020,26/08/2020,1329,Closed,Safety
F121399.353,Open / Ongoing Works,01 Daily Site Diary>Site Management>JPC Project Management,30/07/2020,30/07/2020,1329,Open,Site Management
F121399.354,Open,Progress Photos>Site Management>JPC Project Management,30/07/2020,30/07/2020,1329,Open,Site Management
F121399.355,Test Results Required,Lvl 01  Floor Plan>New Building>ITP 01 Structural>Quality Control & BC(A)R,30/07/2020,10/08/2020,1329,Open,Quality
F121399.356,Closed JPC Reviewed,Site Management>JPC Project Management,30/07/2020,30/07/2020,1329,Closed,Site Management
F121399.358,Closed,01 Inspections>EHS Management>JPC Project Management,29/07/2020,26/08/2020,1329,Closed,Safety
F121399.359,Closed,01 Daily Site Diary>Site Management>JPC Project Management,29/07/2020,30/07/2020,1329,Closed,Site Management
F121399.36,Open / Ongoing Works,01 Daily Site Diary>Site Management>JPC Project Management,29/07/2020,29/07/2020,1329,Open,Site Management
F121399.360,Open / Ongoing Works,JPC Project Management,29/07/2020,29/07/2020,1329,Open,Site Management
F121399.361,Test Results Required,Lvl 00 Ground Floor Plan>New Building>ITP 01 Structural>Quality Control & BC(A)R,29/07/2020,31/07/2020,1329,Open,Quality
F121399.362,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,29/07/2020,29/07/2020,1329,Closed,Site Management
F121399.363,Completed and signed off,EHS Management>JPC Project Management,28/07/2020,28/07/2020,1329,Closed,Safety
F121399.364,Open / Ongoing Works,01 Daily Site Diary>Site Management>JPC Project Management,28/07/2020,28/07/2020,1329,Open,Site Management
F121399.366,Closed,01 Inspections>EHS Management>JPC Project Management,28/07/2020,26/08/2020,1329,Closed,Safety
F121399.367,Closed JPC Sign Off,Lvl 00 Ground Floor Plan>New Building>ITP 01 Structural>Quality Control & BC(A)R,28/07/2020,02/09/2020,1329,Closed,Quality
F121399.368,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,28/07/2020,28/07/2020,1329,Closed,Site Management
F121399.37,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,27/07/2020,26/08/2020,1329,Closed,Safety
F121399.38,Open / Ongoing Works,01 Daily Site Diary>Site Management>JPC Project Management,27/07/2020,27/07/2020,1329,Open,Site Management
F121399.39,Closed,01 Inspections>EHS Management>JPC Project Management,24/07/2020,26/08/2020,1329,Closed,Safety
F121399.41,Open / Ongoing Works,JPC Project Management,04/08/2020,04/08/2020,1329,Open,Quality
F121399.42,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,24/07/2020,26/08/2020,1329,Closed,Safety
F121399.43,Closed,01 Daily Site Diary>Site Management>JPC Project Management,24/07/2020,30/07/2020,1329,Closed,Site Management
F121399.44,Open / Ongoing Works,01 Daily Site Diary>Site Management>JPC Project Management,24/07/2020,24/07/2020,1329,Open,Site Management
F121399.45,Open / Ongoing Works,Site Management>JPC Project Management,24/07/2020,24/07/2020,1329,Open,Site Management
F121399.46,JPC Inspected,Lvl 00 Ground Floor Plan>New Building>ITP 01 Structural>Quality Control & BC(A)R,24/07/2020,10/08/2020,1329,Open,Quality
F121399.47,Closed JPC Reviewed,Site Management>JPC Project Management,24/07/2020,24/07/2020,1329,Closed,Site Management
F121399.48,Open / Ongoing Works,01 Daily Site Diary>Site Management>JPC Project Management,23/07/2020,23/07/2020,1329,Open,Site Management
F121399.49,Closed JPC Reviewed,New Building>Progress Photos>Site Management>JPC Project Management,23/07/2020,23/07/2020,1329,Closed,Site Management
F121399.50,Closed JPC Reviewed,Ground Floor>Existing Building>Progress Photos>Site Management>JPC Project Management,23/07/2020,23/07/2020,1329,Closed,Site Management
F121399.51,Closed JPC Reviewed,First Floor>Existing Building>Progress Photos>Site Management>JPC Project Management,23/07/2020,23/07/2020,1329,Closed,Site Management
F121399.52,Closed JPC Reviewed,Second Floor>Existing Building>Progress Photos>Site Management>JPC Project Management,23/07/2020,23/07/2020,1329,Closed,Site Management
F121399.53,Closed JPC Reviewed,Third Floor>Existing Building>Progress Photos>Site Management>JPC Project Management,23/07/2020,23/07/2020,1329,Closed,Site Management
F121399.54,Closed JPC Reviewed,Roof Floor>Existing Building>Progress Photos>Site Management>JPC Project Management,23/07/2020,23/07/2020,1329,Closed,Site Management
F121399.56,Closed JPC Reviewed,Roof Floor>Existing Building>Progress Photos>Site Management>JPC Project Management,23/07/2020,23/07/2020,1329,Closed,Site Management
F121399.57,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,23/07/2020,26/08/2020,1329,Closed,Safety
F121399.58,Test Results Required,Lvl 01  Floor Plan>New Building>ITP 01 Structural>Quality Control & BC(A)R,23/07/2020,29/07/2020,1329,Open,Quality
F121399.59,Closed JPC Sign Off,Lvl 00 Ground Floor Plan>New Building>ITP 01 Structural>Quality Control & BC(A)R,23/07/2020,07/09/2020,1329,Closed,Quality
F121399.6,Closed JPC Reviewed,Site Management>JPC Project Management,23/07/2020,23/07/2020,1329,Closed,Site Management
F121399.60,Completed and signed off,04 Staturatury Forms>EHS Management>JPC Project Management,22/07/2020,22/07/2020,1329,Closed,Safety
F121399.61,Open / Ongoing Works,Site Management>JPC Project Management,22/07/2020,23/07/2020,1329,Open,Site Management
F121399.62,Closed,01 Daily Site Diary>Site Management>JPC Project Management,22/07/2020,30/07/2020,1329,Closed,Site Management
F121399.63,Closed JPC Sign Off,Lvl 00 Ground Floor Plan>New Building>ITP 01 Structural>Quality Control & BC(A)R,22/07/2020,02/09/2020,1329,Closed,Quality
F121399.64,Permit to Unload / Dismantle (Closed),Lvl 00 Ground Floor Plan>New Building>ITP 01 Structural>Quality Control & BC(A)R,22/07/2020,08/09/2020,1329,Closed,Safety
F121399.65,Closed JPC Reviewed,JPC Project Management,22/07/2020,22/07/2020,1329,Closed,Site Management
F121399.66,Opened,EHS Management>JPC Project Management,21/07/2020,21/07/2020,1329,Open,Safety
F121399.67,Closed JPC Reviewed,Basement>Existing Building>Progress Photos>Site Management>JPC Project Management,21/07/2020,23/07/2020,1329,Closed,Site Management
F121399.68,Closed JPC Reviewed,Ground Floor>Existing Building>Progress Photos>Site Management>JPC Project Management,21/07/2020,23/07/2020,1329,Closed,Site Management
F121399.69,Closed JPC Reviewed,First Floor>Existing Building>Progress Photos>Site Management>JPC Project Management,21/07/2020,23/07/2020,1329,Closed,Site Management
F121399.7,Closed JPC Reviewed,Second Floor>Existing Building>Progress Photos>Site Management>JPC Project Management,21/07/2020,23/07/2020,1329,Closed,Site Management
F121399.70,Closed JPC Reviewed,Third Floor>Existing Building>Progress Photos>Site Management>JPC Project Management,21/07/2020,23/07/2020,1329,Closed,Site Management
F121399.71,Closed JPC Reviewed,New Building>Progress Photos>Site Management>JPC Project Management,21/07/2020,21/07/2020,1329,Closed,Site Management
F121399.72,Closed,01 Inspections>EHS Management>JPC Project Management,21/07/2020,26/08/2020,1329,Closed,Safety
F121399.73,Closed JPC Sign Off,Lvl 00 Ground Floor Plan>New Building>ITP 01 Structural>Quality Control & BC(A)R,21/07/2020,07/09/2020,1329,Closed,Quality
F121399.74,Test Results Required,Lvl 00 Ground Floor Plan>New Building>ITP 01 Structural>Quality Control & BC(A)R,21/07/2020,22/07/2020,1329,Open,Quality
F121399.75,Closed,01 Daily Site Diary>Site Management>JPC Project Management,21/07/2020,24/07/2020,1329,Closed,Site Management
F121399.76,Closed JPC Reviewed,First Floor>Existing Building>Progress Photos>Site Management>JPC Project Management,21/07/2020,23/07/2020,1329,Closed,Site Management
F121399.8,Closed JPC Reviewed,Ground Floor>Existing Building>Progress Photos>Site Management>JPC Project Management,21/07/2020,23/07/2020,1329,Closed,Site Management
F121399.80,Closed JPC Reviewed,First Floor>Existing Building>Progress Photos>Site Management>JPC Project Management,21/07/2020,23/07/2020,1329,Closed,Site Management
F121399.81,Closed JPC Reviewed,First Floor>Existing Building>Progress Photos>Site Management>JPC Project Management,21/07/2020,23/07/2020,1329,Closed,Site Management
F121399.82,Closed JPC Reviewed,Second Floor>Existing Building>Progress Photos>Site Management>JPC Project Management,21/07/2020,23/07/2020,1329,Closed,Site Management
F121399.83,Closed JPC Reviewed,Second Floor>Existing Building>Progress Photos>Site Management>JPC Project Management,21/07/2020,23/07/2020,1329,Closed,Site Management
F121399.84,Closed JPC Reviewed,Third Floor>Existing Building>Progress Photos>Site Management>JPC Project Management,21/07/2020,23/07/2020,1329,Closed,Site Management
F121399.85,Closed JPC Reviewed,Third Floor>Existing Building>Progress Photos>Site Management>JPC Project Management,21/07/2020,23/07/2020,1329,Closed,Site Management
F121399.86,Closed JPC Sign Off,Lvl 00 Ground Floor Plan>New Building>ITP 01 Structural>Quality Control & BC(A)R,21/07/2020,14/08/2020,1329,Closed,Quality
F121399.87,Closed JPC Reviewed,Site Management>JPC Project Management,21/07/2020,21/07/2020,1329,Closed,Site Management
F121399.88,Completed and signed off,EHS Management>JPC Project Management,20/07/2020,20/07/2020,1329,Closed,Safety
F121399.89,Closed,01 Daily Site Diary>Site Management>JPC Project Management,20/07/2020,24/07/2020,1329,Closed,Site Management
F121399.9,Closed JPC Reviewed,Progress Photos>Site Management>JPC Project Management,20/07/2020,20/07/2020,1329,Closed,Site Management
F121399.90,Open / Ongoing Works,01 Daily Site Diary>Site Management>JPC Project Management,20/07/2020,20/07/2020,1329,Open,Site Management
F121399.93,Open / Ongoing Works,01 Daily Site Diary>Site Management>JPC Project Management,20/07/2020,20/07/2020,1329,Open,Site Management
F121399.94,In Process / Manufactor,1329 - 19-22 Kildare Street,20/07/2020,20/07/2020,1329,Open,Quality
F121399.95,Closed JPC Sign Off,Lvl 00 Ground Floor Plan>New Building>ITP 01 Structural>Quality Control & BC(A)R,20/07/2020,14/08/2020,1329,Closed,Quality
F121399.97,Closed,01 Daily Site Diary>Site Management>JPC Project Management,17/07/2020,20/07/2020,1329,Closed,Site Management
F121399.98,Completed and signed off,04 Staturatury Forms>EHS Management>JPC Project Management,17/07/2020,22/07/2020,1329,Closed,Safety
F121399.99,Open / Ongoing Works,01 Daily Site Diary>Site Management>JPC Project Management,17/07/2020,17/07/2020,1329,Open,Site Management
F121401.1,JPC Sign Off,Lvl-01 Basement>New Building>ITP 01 Structural>Quality Control & BC(A)R,17/07/2020,17/07/2020,1329,Closed,Quality
F121401.10,Closed JPC Sign Off,Lvl 00 Ground Floor Plan>New Building>ITP 01 Structural>Quality Control & BC(A)R,17/07/2020,07/09/2020,1329,Closed,Quality
F121401.4,Closed JPC Reviewed,JPC Project Management,17/07/2020,17/07/2020,1329,Closed,Site Management
F121401.5,Open,ITP 01 Structural>Quality Control & BC(A)R,17/07/2020,17/07/2020,1329,Open,Site Management
F121401.6,Closed,01 Inspections>EHS Management>JPC Project Management,16/07/2020,26/08/2020,1329,Closed,Safety
F121401.7,Closed JPC Sign Off,Lvl 00 Ground Floor Plan>New Building>ITP 01 Structural>Quality Control & BC(A)R,16/07/2020,02/09/2020,1329,Closed,Quality
F121401.8,Closed JPC Reviewed,Progress Photos>Site Management>JPC Project Management,16/07/2020,16/07/2020,1329,Closed,Site Management
F121401.9,Open / Ongoing Works,01 Daily Site Diary>Site Management>JPC Project Management,16/07/2020,19/08/2020,1329,Open,Site Management
F121436.10,Closed,01 Inspections>EHS Management>JPC Project Management,16/07/2020,26/08/2020,1329,Closed,Safety
F121436.11,Closed JPC Sign Off,Lvl 00 Ground Floor Plan>New Building>ITP 01 Structural>Quality Control & BC(A)R,16/07/2020,14/08/2020,1329,Closed,Quality
F121436.20,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,16/07/2020,26/08/2020,1329,Closed,Safety
F121436.22,Closed JPC Sign Off,Lvl 00 Ground Floor Plan>New Building>ITP 01 Structural>Quality Control & BC(A)R,16/07/2020,10/08/2020,1329,Closed,Quality
F121436.23,Closed JPC Sign Off,Lvl 00 Ground Floor Plan>New Building>ITP 01 Structural>Quality Control & BC(A)R,16/07/2020,14/08/2020,1329,Closed,Quality
F121436.24,Closed JPC Sign Off,Lvl 00 Ground Floor Plan>New Building>ITP 01 Structural>Quality Control & BC(A)R,16/07/2020,30/07/2020,1329,Closed,Quality
F121436.25,Closed JPC Reviewed,JPC Project Management,16/07/2020,16/07/2020,1329,Closed,Site Management
F121436.27,In Process / Manufactor,Quality Control & BC(A)R,15/07/2020,15/07/2020,1329,Open,Quality
F121436.28,Completed and signed off,04 Staturatury Forms>EHS Management>JPC Project Management,15/07/2020,16/07/2020,1329,Closed,Safety
F121436.29,Closed,01 Daily Site Diary>Site Management>JPC Project Management,15/07/2020,20/07/2020,1329,Closed,Site Management
F121436.3,Closed,01 Daily Site Diary>Site Management>JPC Project Management,15/07/2020,16/07/2020,1329,Closed,Site Management
F121436.30,Closed,01 Inspections>EHS Management>JPC Project Management,14/07/2020,26/08/2020,1329,Closed,Safety
F121436.31,Closed,01 Daily Site Diary>Site Management>JPC Project Management,14/07/2020,15/07/2020,1329,Closed,Site Management
F121436.32,Closed,01 Daily Site Diary>Site Management>JPC Project Management,14/07/2020,16/07/2020,1329,Closed,Site Management
F121436.33,Closed,01 Daily Site Diary>Site Management>JPC Project Management,14/07/2020,16/07/2020,1329,Closed,Site Management
F121436.34,Closed JPC Sign Off,Lvl 00 Ground Floor Plan>New Building>ITP 01 Structural>Quality Control & BC(A)R,14/07/2020,02/09/2020,1329,Closed,Quality
F121436.35,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,14/07/2020,26/08/2020,1329,Closed,Safety
F121436.36,Closed JPC Sign Off,Lvl 00 Ground Floor Plan>New Building>ITP 01 Structural>Quality Control & BC(A)R,14/07/2020,02/09/2020,1329,Closed,Quality
F121436.37,Closed JPC Sign Off,Lvl 00 Ground Floor Plan>New Building>ITP 01 Structural>Quality Control & BC(A)R,14/07/2020,02/09/2020,1329,Closed,Quality
F121436.38,Closed JPC Sign Off,Lvl 00 Ground Floor Plan>New Building>ITP 01 Structural>Quality Control & BC(A)R,14/07/2020,10/08/2020,1329,Closed,Quality
F121436.39,Closed JPC Sign Off,Lvl 00 Ground Floor Plan>New Building>ITP 01 Structural>Quality Control & BC(A)R,14/07/2020,10/08/2020,1329,Closed,Quality
F121436.40,Closed JPC Reviewed,JPC Project Management,14/07/2020,14/07/2020,1329,Closed,Site Management
F121436.41,Completed and signed off,04 Staturatury Forms>EHS Management>JPC Project Management,13/07/2020,13/07/2020,1329,Closed,Safety
F121436.42,Opened,JPC Project Management,13/07/2020,13/07/2020,1329,Open,Safety
F121436.43,Closed,01 Daily Site Diary>Site Management>JPC Project Management,13/07/2020,20/07/2020,1329,Closed,Site Management
F121436.44,Completed and signed off,Site Management>JPC Project Management,13/07/2020,13/07/2020,1329,Closed,Safety
F121436.46,Open,01 Inspections>EHS Management>JPC Project Management,13/07/2020,26/08/2020,1329,Open,Safety
F121436.47,Open,01 Inspections>EHS Management>JPC Project Management,13/07/2020,26/08/2020,1329,Open,Safety
F121436.48,Closed JPC Sign Off,Lvl 00 Ground Floor Plan>New Building>ITP 01 Structural>Quality Control & BC(A)R,13/07/2020,30/07/2020,1329,Closed,Quality
F121436.49,Closed JPC Sign Off,Lvl 00 Ground Floor Plan>New Building>ITP 01 Structural>Quality Control & BC(A)R,13/07/2020,02/09/2020,1329,Closed,Quality
